date,BAYC
2021-10-01,300
2021-10-02,335
2021-10-03,155
2021-10-04,179
2021-10-05,221
2021-10-06,121
2021-10-07,416
2021-10-08,161
2021-10-09,224
2021-10-10,230
2021-10-11,94
2021-10-12,260
2021-10-13,247
2021-10-14,389
2021-10-15,125
2021-10-16,258
2021-10-17,107
2021-10-18,114
2021-10-19,124
2021-10-20,77
2021-10-21,103
2021-10-22,76
2021-10-23,0
2021-10-24,148
2021-10-25,126
2021-10-26,188
2021-10-27,268
2021-10-28,69
2021-10-29,312
2021-10-30,326
2021-10-31,193
2021-11-01,153
2021-11-02,153
2021-11-03,207
2021-11-04,174
2021-11-05,113
2021-11-06,229
2021-11-07,361
2021-11-08,161
2021-11-09,199
2021-11-10,57
2021-11-11,148
2021-11-12,173
2021-11-13,119
2021-11-14,311
2021-11-15,292
2021-11-16,249
2021-11-17,174
2021-11-18,195
2021-11-19,153
2021-11-20,228
2021-11-21,144
2021-11-22,84
2021-11-23,134
2021-11-24,317
2021-11-25,263
2021-11-26,55
2021-11-27,199
2021-11-28,219
2021-11-29,220
2021-11-30,150
2021-12-01,338
2021-12-02,60
2021-12-03,228
2021-12-04,135
2021-12-05,412
2021-12-06,220
2021-12-07,80
2021-12-08,387
2021-12-09,95
2021-12-10,321
2021-12-11,120
2021-12-12,228
2021-12-13,283
2021-12-14,289
2021-12-15,218
2021-12-16,150
2021-12-17,202
2021-12-18,169
2021-12-19,303
2021-12-20,291
2021-12-21,289
2021-12-22,283
2021-12-23,210
2021-12-24,199
2021-12-25,238
2021-12-26,176
2021-12-27,462
2021-12-28,223
2021-12-29,220
2021-12-30,273
2021-12-31,141
2022-01-01,301
2022-01-02,176
2022-01-03,308
2022-01-04,212
2022-01-05,237
2022-01-06,215
2022-01-07,173
2022-01-08,270
2022-01-09,260
2022-01-10,274
2022-01-11,211
2022-01-12,220
2022-01-13,281
2022-01-14,323
2022-01-15,224
2022-01-16,187
2022-01-17,374
2022-01-18,328
2022-01-19,333
2022-01-20,224
2022-01-21,298
2022-01-22,384
2022-01-23,164
2022-01-24,259
2022-01-25,204
2022-01-26,101
2022-01-27,292
2022-01-28,330
2022-01-29,433
2022-01-30,534
2022-01-31,160
2022-02-01,273
2022-02-02,196
2022-02-03,185
2022-02-04,381
2022-02-05,489
2022-02-06,375
2022-02-07,329
2022-02-08,268
2022-02-09,287
2022-02-10,267
2022-02-11,270
2022-02-12,399
2022-02-13,373
2022-02-14,367
2022-02-15,259
2022-02-16,271
2022-02-17,268
2022-02-18,274
2022-02-19,273
2022-02-20,415
2022-02-21,311
2022-02-22,367
2022-02-23,236
2022-02-24,222
2022-02-25,496
2022-02-26,308
2022-02-27,373
2022-02-28,183
2022-03-01,302
2022-03-02,250
2022-03-03,178
2022-03-04,170
2022-03-05,276
