date,cryptopunks
2021-10-01,324
2021-10-02,200
2021-10-03,176
2021-10-04,278
2021-10-05,269
2021-10-06,185
2021-10-07,294
2021-10-08,226
2021-10-09,258
2021-10-10,180
2021-10-11,183
2021-10-12,35
2021-10-13,157
2021-10-14,188
2021-10-15,110
2021-10-16,295
2021-10-17,324
2021-10-18,250
2021-10-19,159
2021-10-20,297
2021-10-21,232
2021-10-22,99
2021-10-23,64
2021-10-24,235
2021-10-25,290
2021-10-26,43
2021-10-27,144
2021-10-28,289
2021-10-29,322
2021-10-30,593
2021-10-31,200
2021-11-01,339
2021-11-02,531
2021-11-03,257
2021-11-04,329
2021-11-05,146
2021-11-06,280
2021-11-07,119
2021-11-08,222
2021-11-09,356
2021-11-10,138
2021-11-11,139
2021-11-12,192
2021-11-13,154
2021-11-14,182
2021-11-15,121
2021-11-16,116
2021-11-17,175
2021-11-18,150
2021-11-19,279
2021-11-20,232
2021-11-21,172
2021-11-22,388
2021-11-23,374
2021-11-24,516
2021-11-25,172
2021-11-26,289
2021-11-27,260
2021-11-28,505
2021-11-29,117
2021-11-30,262
2021-12-01,250
2021-12-02,267
2021-12-03,108
2021-12-04,221
2021-12-05,59
2021-12-06,182
2021-12-07,185
2021-12-08,354
2021-12-09,282
2021-12-10,212
2021-12-11,400
2021-12-12,279
2021-12-13,229
2021-12-14,307
2021-12-15,256
2021-12-16,280
2021-12-17,204
2021-12-18,382
2021-12-19,246
2021-12-20,162
2021-12-21,392
2021-12-22,217
2021-12-23,29
2021-12-24,312
2021-12-25,189
2021-12-26,198
2021-12-27,340
2021-12-28,217
2021-12-29,218
2021-12-30,237
2021-12-31,155
2022-01-01,141
2022-01-02,189
2022-01-03,56
2022-01-04,40
2022-01-05,71
2022-01-06,88
2022-01-07,288
2022-01-08,343
2022-01-09,185
2022-01-10,339
2022-01-11,185
2022-01-12,269
2022-01-13,140
2022-01-14,122
2022-01-15,229
2022-01-16,135
2022-01-17,88
2022-01-18,129
2022-01-19,204
2022-01-20,106
2022-01-21,138
2022-01-22,308
2022-01-23,405
2022-01-24,316
2022-01-25,327
2022-01-26,282
2022-01-27,311
2022-01-28,518
2022-01-29,273
2022-01-30,380
2022-01-31,246
2022-02-01,462
2022-02-02,342
2022-02-03,162
2022-02-04,177
2022-02-05,127
2022-02-06,252
2022-02-07,292
2022-02-08,208
2022-02-09,176
2022-02-10,122
2022-02-11,262
2022-02-12,403
2022-02-13,584
2022-02-14,332
2022-02-15,500
2022-02-16,192
2022-02-17,355
2022-02-18,108
2022-02-19,333
2022-02-20,84
2022-02-21,115
2022-02-22,269
2022-02-23,221
2022-02-24,167
2022-02-25,203
2022-02-26,291
2022-02-27,301
2022-02-28,205
2022-03-01,357
2022-03-02,220
2022-03-03,130
2022-03-04,363
2022-03-05,292
2022-03-06,308
2022-03-07,148
2022-03-08,362
2022-03-09,319
2022-03-10,120
2022-03-11,105
2022-03-12,229
2022-03-13,166
2022-03-14,228
2022-03-15,156
2022-03-16,82
2022-03-17,227
2022-03-18,125
2022-03-19,120
2022-03-20,513
2022-03-21,189
2022-03-22,286
2022-03-23,196
2022-03-24,296
2022-03-25,318
2022-03-26,315
2022-03-27,209
2022-03-28,409
2022-03-29,200
2022-03-30,186
2022-03-31,288
2022-04-01,362
2022-04-02,482
2022-04-03,374
2022-04-04,173
2022-04-05,324
2022-04-06,133
2022-04-07,347
2022-04-08,342
2022-04-09,231
2022-04-10,111
2022-04-11,170
2022-04-12,278
2022-04-13,331
2022-04-14,222
2022-04-15,212
2022-04-16,298
2022-04-17,334
2022-04-18,349
2022-04-19,294
2022-04-20,335
2022-04-21,190
2022-04-22,197
2022-04-23,221
2022-04-24,203
2022-04-25,567
2022-04-26,60
2022-04-27,296
2022-04-28,201
2022-04-29,257
2022-04-30,184
2022-05-01,234
2022-05-02,217
2022-05-03,62
2022-05-04,118
2022-05-05,112
2022-05-06,81
2022-05-07,205
2022-05-08,68
2022-05-09,101
2022-05-10,297
2022-05-11,436
2022-05-12,326
2022-05-13,83
2022-05-14,275
2022-05-15,113
2022-05-16,231
2022-05-17,290
2022-05-18,105
2022-05-19,195
2022-05-20,178
2022-05-21,260
2022-05-22,103
2022-05-23,122
2022-05-24,65
2022-05-25,96
2022-05-26,41
2022-05-27,169
2022-05-28,170
2022-05-29,175
2022-05-30,103
2022-05-31,276
2022-06-01,128
2022-06-02,236
