date,metaverse
2021-10-01,303
2021-10-02,210
2021-10-03,423
2021-10-04,495
2021-10-05,374
2021-10-06,644
2021-10-07,539
2021-10-08,619
2021-10-09,398
2021-10-10,445
2021-10-11,415
2021-10-12,448
2021-10-13,510
2021-10-14,586
2021-10-15,121
2021-10-16,106
2021-10-17,152
2021-10-18,513
2021-10-19,350
2021-10-20,1144
2021-10-21,1015
2021-10-22,100
2021-10-23,72
2021-10-24,62
2021-10-25,83
2021-10-26,103
2021-10-27,86
2021-10-28,579
2021-10-29,1482
2021-10-30,838
2021-10-31,693
2021-11-01,474
2021-11-02,491
2021-11-03,436
2021-11-04,408
2021-11-05,1615
2021-11-06,1353
2021-11-07,1439
2021-11-08,1406
2021-11-09,1512
2021-11-10,1550
2021-11-11,1480
2021-11-12,1326
2021-11-13,1429
2021-11-14,1349
2021-11-15,1375
2021-11-16,1295
2021-11-17,1298
2021-11-18,1455
2021-11-19,1445
2021-11-20,1182
2021-11-21,1287
2021-11-22,1184
2021-11-23,1239
2021-11-24,1398
2021-11-25,1788
2021-11-26,1401
2021-11-27,1289
2021-11-28,1495
2021-11-29,1498
2021-11-30,1440
2021-12-01,1509
2021-12-02,1496
2021-12-03,1760
2021-12-04,1370
2021-12-05,1376
2021-12-06,1461
2021-12-07,1321
2021-12-08,1396
2021-12-09,1528
2021-12-10,1330
2021-12-11,1342
2021-12-12,1295
2021-12-13,1281
2021-12-14,1480
2021-12-15,1614
2021-12-16,1673
2021-12-17,1738
2021-12-18,1475
2021-12-19,1348
2021-12-20,1305
2021-12-21,1237
2021-12-22,1356
2021-12-23,1354
2021-12-24,1576
2021-12-25,1717
2021-12-26,1719
2021-12-27,1647
2021-12-28,1491
2021-12-29,1562
2021-12-30,1757
2021-12-31,1361
2022-01-01,1525
2022-01-02,1613
2022-01-03,1464
2022-01-04,1571
2022-01-05,1682
2022-01-06,1680
2022-01-07,1547
2022-01-08,1388
2022-01-09,1424
2022-01-10,1695
2022-01-11,1522
2022-01-12,1384
2022-01-13,1331
2022-01-14,1317
2022-01-15,1254
2022-01-16,1347
2022-01-17,1501
2022-01-18,1734
2022-01-19,1544
2022-01-20,1416
2022-01-21,1650
2022-01-22,1443
2022-01-23,1323
2022-01-24,1299
2022-01-25,1412
2022-01-26,1359
2022-01-27,1275
2022-01-28,1325
2022-01-29,1190
2022-01-30,1276
2022-01-31,1252
2022-02-01,1382
2022-02-02,1532
2022-02-03,1859
2022-02-04,1855
2022-02-05,1462
2022-02-06,1431
2022-02-07,1521
2022-02-08,1510
2022-02-09,1544
2022-02-10,1389
2022-02-11,1025
2022-02-12,790
2022-02-13,823
2022-02-14,903
2022-02-15,895
2022-02-16,1058
2022-02-17,996
2022-02-18,1156
2022-02-19,1072
2022-02-20,1159
2022-02-21,1152
2022-02-22,1109
2022-02-23,1110
2022-02-24,824
2022-02-25,1073
2022-02-26,1038
2022-02-27,974
2022-02-28,986
2022-03-01,1123
2022-03-02,1100
2022-03-03,1357
2022-03-04,1805
2022-03-05,1443
2022-03-06,1415
2022-03-07,1476
2022-03-08,1508
2022-03-09,1578
2022-03-10,1597
2022-03-11,1649
2022-03-12,1569
2022-03-13,1702
2022-03-14,1609
2022-03-15,1558
2022-03-16,1745
2022-03-17,1619
2022-03-18,1382
2022-03-19,1160
2022-03-20,1117
2022-03-21,1553
2022-03-22,1494
2022-03-23,1329
2022-03-24,1287
2022-03-25,1649
2022-03-26,1550
2022-03-27,1319
2022-03-28,1309
2022-03-29,1342
2022-03-30,1527
2022-03-31,1525
2022-04-01,1871
2022-04-02,1504
2022-04-03,1406
2022-04-04,1539
2022-04-05,1726
2022-04-06,1510
2022-04-07,1550
2022-04-08,1626
2022-04-09,1387
2022-04-10,1190
2022-04-11,1506
2022-04-12,1579
2022-04-13,1534
2022-04-14,1536
2022-04-15,1181
2022-04-16,1090
2022-04-17,1129
2022-04-18,1376
2022-04-19,1458
2022-04-20,1397
2022-04-21,1489
2022-04-22,1403
2022-04-23,1300
2022-04-24,1246
2022-04-25,1504
2022-04-26,1456
2022-04-27,1593
2022-04-28,1619
2022-04-29,1639
2022-04-30,1430
2022-05-01,1409
2022-05-02,1443
2022-05-03,1331
2022-05-04,1319
2022-05-05,1356
2022-05-06,1534
2022-05-07,1284
2022-05-08,1173
2022-05-09,1501
2022-05-10,1629
2022-05-11,1557
2022-05-12,1419
2022-05-13,1279
2022-05-14,989
2022-05-15,944
2022-05-16,1233
2022-05-17,1211
2022-05-18,1353
2022-05-19,1447
2022-05-20,1416
2022-05-21,1072
2022-05-22,1018
2022-05-23,1240
2022-05-24,1283
2022-05-25,1170
2022-05-26,1246
2022-05-27,1445
2022-05-28,1021
2022-05-29,1072
2022-05-30,1436
2022-05-31,1435
2022-06-01,1445
2022-06-02,1479
2022-06-03,1315
2022-06-04,1165
2022-06-05,1271
2022-06-06,1233
2022-06-07,1411
2022-06-08,1470
2022-06-09,1547
2022-06-10,1283
2022-06-11,886
2022-06-12,1046
2022-06-13,1232
2022-06-14,1384
2022-06-15,1344
2022-06-16,1229
2022-06-17,1310
2022-06-18,999
2022-06-19,1032
2022-06-20,1429
2022-06-21,1411
2022-06-22,1548
2022-06-23,1642
2022-06-24,1287
2022-06-25,1038
2022-06-26,1214
2022-06-27,1205
2022-06-28,1249
2022-06-29,1326
2022-06-30,1142
2022-07-01,1176
2022-07-02,928
2022-07-03,870
2022-07-04,937
2022-07-05,1140
2022-07-06,1031
2022-07-07,1070
2022-07-08,1231
2022-07-09,933
2022-07-10,965
2022-07-11,1164
2022-07-12,1193
2022-07-13,1324
2022-07-14,1357
2022-07-15,1167
2022-07-16,799
2022-07-17,991
2022-07-18,1149
2022-07-19,1333
2022-07-20,1339
2022-07-21,1315
2022-07-22,1140
2022-07-23,748
2022-07-24,911
2022-07-25,1080
2022-07-26,1171
2022-07-27,1212
2022-07-28,1226
2022-07-29,1029
2022-07-30,787
2022-07-31,792
2022-08-01,1121
2022-08-02,1126
2022-08-03,1053
2022-08-04,1001
2022-08-05,1132
2022-08-06,762
2022-08-07,790
2022-08-08,968
2022-08-09,1186
2022-08-10,1131
2022-08-11,1123
2022-08-12,1211
2022-08-13,1094
2022-08-14,1086
2022-08-15,1258
2022-08-16,1238
2022-08-17,1333
2022-08-18,1680
2022-08-19,1180
2022-08-20,1203
2022-08-21,1187
2022-08-22,1297
2022-08-23,1262
2022-08-24,1187
2022-08-25,1285
2022-08-26,1051
2022-08-27,871
2022-08-28,974
2022-08-29,1341
2022-08-30,1059
2022-08-31,1114
2022-09-01,986
2022-09-02,1112
2022-09-03,909
2022-09-04,921
2022-09-05,1049
2022-09-06,1233
2022-09-07,1177
2022-09-08,1068
2022-09-09,1282
2022-09-10,1030
2022-09-11,912
2022-09-12,1201
2022-09-13,1192
2022-09-14,1343
2022-09-15,1131
2022-09-16,1111
2022-09-17,812
2022-09-18,810
2022-09-19,1205
2022-09-20,1120
2022-09-21,1328
2022-09-22,1256
2022-09-23,1198
2022-09-24,1114
2022-09-25,996
2022-09-26,1334
2022-09-27,1307
2022-09-28,1275
2022-09-29,1549
2022-09-30,1931
